"","Ticker","SimFinId","Company.Name","IndustryId","Sector","Industry","Report.Date","Fiscal.Year","Return.On.Assets","Book.to.Market.Ratio","Earning.Per.Share","Sales.Per.Share","Price.to.Earning.Ratio","Return.On.Assets.t","Return.On.Assets.out","Earning.Per.Share.t","Earning.Per.Share.out","Sales.Per.Share.t","Sales.Per.Share.out","Price.to.Earning.Ratio.t","Price.to.Earning.Ratio.out","Book.to.Market.Ratio.t","Book.to.Market.Ratio.out"
"3169","DTRM",80268,"DETERMINE, INC.",101003,"Technology","Application Software","2013-03-31",2012,0.00606559062403619,0.241517237626187,-2.2168376370711,4.87690130880792,-2.93210467528323,1.56722222498667,"False",3.0335661778756,"False",1.58451004047804,"False",9.34898255520046,"False",-1.42081443110264,"False"
"3170","DTRM",80268,"DETERMINE, INC.",101003,"Technology","Application Software","2014-03-31",2013,0.176952290529314,0.021104899520241,-1.23549258795503,4.56812262621653,-5.18821404716783,1.6022524856556,"False",3.07972958613008,"False",1.51910231661173,"False",9.34878613268595,"False",-3.85825006070471,"False"
"3171","DTRM",80268,"DETERMINE, INC.",101003,"Technology","Application Software","2015-03-31",2014,-0.0377981651376147,0.178751161298915,-1.12395217809537,2.16971279373368,-4.60873700941435,1.55802906984163,"False",3.08484418497936,"False",0.774594805674802,"False",9.34883658708588,"False",-1.72176060065198,"False"
"3172","DTRM",80268,"DETERMINE, INC.",101003,"Technology","Application Software","2016-03-31",2015,-0.0501210051342365,0.401755095515828,-1.3376264071742,2.55294791070406,-1.9362656015976,1.55543111619407,"False",3.07502326485053,"False",0.937248734880051,"False",9.34906924316452,"False",-0.911912591144815,"False"
"3173","DTRM",80268,"DETERMINE, INC.",101003,"Technology","Application Software","2017-03-31",2016,0.0575593876058597,0.224568172008914,-0.811748540020611,2.35855376159395,-2.40222175201016,1.57790776685003,"False",3.09902250360933,"False",0.858048618307037,"False",9.3490286825363,"False",-1.49357595638601,"False"
"3174","DTRM",80268,"DETERMINE, INC.",101003,"Technology","Application Software","2018-03-31",2017,0.0188522251806771,0.190480597199087,-0.690449750138812,1.95162409772349,-2.60699638118215,1.56988627068507,"False",3.10447735660157,"False",0.668661896558805,"False",9.34901085676005,"False",-1.65820494157594,"False"
"3247","EA",372651,"ELECTRONIC ARTS INC.",101003,"Technology","Application Software","2010-03-31",2009,0.24321997417133,0.473066088840737,-2.08307692307692,11.2430769230769,-8.52104874446086,1.6155132833464,"False",3.03998525945739,"False",2.41975255460821,"False",9.34849589716289,"False",-0.748520177542823,"False"
"3248","EA",372651,"ELECTRONIC ARTS INC.",101003,"Technology","Application Software","2011-03-31",2010,0.233563311688312,0.481638020099559,-0.849230769230769,11.0430769230769,-19.2880434782609,1.6135918039806,"False",3.09733087773374,"False",2.40180370881787,"False",9.34755769154046,"False",-0.730562442714099,"False"
"3249","EA",372651,"ELECTRONIC ARTS INC.",101003,"Technology","Application Software","2012-03-31",2011,0.262975778546713,0.361576934392468,0.23030303030303,12.5545454545455,89.4473684210526,1.61943282079254,"False",3.14494140843931,"False",2.53008278761688,"False",9.35699238838765,"False",-1.01728044013008,"False"
"3250","EA",372651,"ELECTRONIC ARTS INC.",101003,"Technology","Application Software","2013-03-31",2012,0.238264299802761,0.46467106126197,0.291666666666667,11.3005952380952,49.7828571428572,1.61452766616912,"False",3.1475808200394,"False",2.42485540026859,"False",9.35356110310794,"False",-0.766425518852326,"False"
