"","Ticker","SimFinId","Company.Name","IndustryId","Sector","Industry","Report.Date","Fiscal.Year","Long Term Debt","Income Tax (Expense) Benefit, Net","Shares (Diluted)","Revenue","Inventories"
"7175","KOOL",258731,"CESCA THERAPEUTICS INC.",106004,"Healthcare","Medical Devices","2017-12-31",2017,3500000,673000,890451,14525000,3617000
"7176","KOOL",258731,"CESCA THERAPEUTICS INC.",106004,"Healthcare","Medical Devices","2018-12-31",2018,1174000,4730000,1841281,9672000,4493000
"7177","KOPN",807728,"KOPIN CORP",101004,"Technology","Semiconductors","2010-12-31",2010,514327182.016647,54000,66711501,58141632,21462871
"7178","KOPN",807728,"KOPIN CORP",101004,"Technology","Semiconductors","2011-12-31",2011,515273989.23381,0,65234212,64658603,20468512
"7179","KOPN",807728,"KOPIN CORP",101004,"Technology","Semiconductors","2012-12-31",2012,515557262.343819,-1099000,63617680,34641860,5789753
"7180","KOPN",807728,"KOPIN CORP",101004,"Technology","Semiconductors","2013-12-31",2013,513628587.003319,12933209,62347852,22897709,3078055
"7181","KOPN",807728,"KOPIN CORP",101004,"Technology","Semiconductors","2014-12-31",2014,516617587.523819,180000,62638675,31807465,4081886
"7182","KOPN",807728,"KOPIN CORP",101004,"Technology","Semiconductors","2015-12-31",2015,517154575.201385,25000,63465797,32054419,2512473
"7183","KOPN",807728,"KOPIN CORP",101004,"Technology","Semiconductors","2016-12-31",2016,519732083.541515,-3130000,64045675,22642566,3302112
"7184","KOPN",807728,"KOPIN CORP",101004,"Technology","Semiconductors","2017-12-31",2017,519583201.373318,2963000,69914956,27841490,5080797
"7185","KOPN",807728,"KOPIN CORP",101004,"Technology","Semiconductors","2018-12-31",2018,521368322.038845,-30000,73156545,24465005,4797238
"7186","KORS",38287,"Michael Kors Holdings Ltd",103004,"Consumer Cyclical","Manufacturing - Apparel & Furniture","2013-03-31",2012,566075354.967529,-101452000,189299197,1302254000,187413000
"7187","KORS",38287,"Michael Kors Holdings Ltd",103004,"Consumer Cyclical","Manufacturing - Apparel & Furniture","2014-03-31",2013,523546909.409546,-229525000,201540144,2181732000,266894000
"7188","KORS",38287,"Michael Kors Holdings Ltd",103004,"Consumer Cyclical","Manufacturing - Apparel & Furniture","2015-03-31",2014,522673734.133057,-346200000,205638107,3310800000,426938000
"7189","KORS",38287,"Michael Kors Holdings Ltd",103004,"Consumer Cyclical","Manufacturing - Apparel & Furniture","2016-03-31",2015,0,-334600000,205865769,4712100000,519900000
"7190","KORS",38287,"Michael Kors Holdings Ltd",103004,"Consumer Cyclical","Manufacturing - Apparel & Furniture","2017-03-31",2016,0,-137100000,189054289,4493700000,549300000
"7191","KORS",38287,"Michael Kors Holdings Ltd",103004,"Consumer Cyclical","Manufacturing - Apparel & Furniture","2018-03-31",2017,674400000,-149700000,168123813,4718600000,660700000
"7192","KPTI",786011,"Karyopharm Therapeutics Inc.",106005,"Healthcare","Drug Manufacturers","2012-12-31",2012,521746879.601319,8831868.6527583,1775323,1078742106.40044,318911932.100652
"7193","KPTI",786011,"Karyopharm Therapeutics Inc.",106005,"Healthcare","Drug Manufacturers","2013-12-31",2013,508604148.411949,14422884.3596618,6067679,1059534705.14574,319155954.821394
"7194","KPTI",786011,"Karyopharm Therapeutics Inc.",106005,"Healthcare","Drug Manufacturers","2014-12-31",2014,508050101.213013,29019792.1675639,31135694,942801418.110806,320789149.296494
